"city","country","pop2023","latitude","longitude","fill"
"Lloydminster","Canada",31400,53.2724,-110.023
"Cote-Saint-Luc","Canada",31395,45.4654,-73.6658
"Church-Yonge Corridor","Canada",31340,43.6596,-79.379
"Niagara","Canada",31180,43.6446,-79.4071
"Saint-Georges","Canada",31173,46.1135,-70.6653
"Orillia","Canada",31166,44.6087,-79.4207
"Orangeville","Canada",30734,43.9168,-80.0997
"Fort Erie","Canada",30710,42.9001,-78.9329
"Annex","Canada",30526,43.6716,-79.404
"Glenfield-Jane Heights","Canada",30491,43.7456,-79.5135
"Pointe-Claire","Canada",30161,45.4487,-73.8167
"Bendale","Canada",29960,43.7668,-79.2533
"North Cowichan","Canada",29676,48.8413,-123.686
"Mount Pleasant West","Canada",29658,43.7044,-79.3934
"Alma","Canada",29526,48.5501,-71.6491
"Agincourt North","Canada",29113,43.8042,-79.2753
"Sainte-Julie","Canada",29019,45.5834,-73.3325
"West Kelowna","Canada",28793,49.8625,-119.583
"Sept-Iles","Canada",28534,50.2001,-66.3821
"Wexford/Maryvale","Canada",27917,43.7486,-79.2986
"South Riverdale","Canada",27876,43.6493,-79.3356
"Banbury-Don Mills","Canada",27695,43.7377,-79.3497
"York University Heights","Canada",27593,43.7657,-79.4889
"Port Moody","Canada",27512,49.2812,-122.825
"Tam O'Shanter-Sullivan","Canada",27446,43.7798,-79.295
"West Hill","Canada",27392,43.7674,-79.1795
"Saint-Constant","Canada",27359,45.3668,-73.5659
"Grimsby","Canada",27314,43.2001,-79.5663
"Dieppe","Canada",27304,46.0784,-64.6873
"Don Valley Village","Canada",27051,43.7833,-79.3536
"Clairlea-Birchmount","Canada",26984,43.7136,-79.2814
"Milliken","Canada",26572,43.825,-79.2987
"Boisbriand","Canada",26483,45.6168,-73.8325
"Westminster-Branson","Canada",26274,43.7788,-79.4524
"Cochrane","Canada",25853,51.1834,-114.469
"Bay Street Corridor","Canada",25797,43.6575,-79.3857
"Vaudreuil-Dorion","Canada",25789,45.4001,-74.0325
"Thetford-Mines","Canada",25704,46.0937,-71.3054
"Walnut Grove","Canada",25683,49.1647,-122.64
"Courtenay","Canada",25599,49.6866,-124.994
"Val-d'Or","Canada",25541,48.0974,-77.7974
"Prince Edward","Canada",25496,44.0001,-77.2495
"Sainte-Therese","Canada",25224,45.6392,-73.8276
"Stonegate-Queensway","Canada",25051,43.6355,-79.5011
"Dorset Park","Canada",25003,43.7539,-79.2822
"Fallingbrook","Canada",25000,45.4756,-75.484
"Airdrie","Canada",24673,51.3001,-114.035
"Steeles","Canada",24623,43.812,-79.3308
"Saint-Bruno-de-Montarville","Canada",24388,45.5334,-73.3492
"Midland","Canada",24353,44.7501,-79.883
"East Gwillimbury","Canada",23991,44.1009,-79.4379
"High Park-Swansea","Canada",23925,43.6451,-79.4679
"Brockville","Canada",23886,44.5913,-75.687
"Newtonbrook West","Canada",23831,43.7858,-79.4314
"Agincourt South-Malvern West","Canada",23757,43.7887,-79.2656
"Langley","Canada",23606,49.1011,-122.659
"Rouyn-Noranda","Canada",23504,48.2366,-79.0231
"La Prairie","Canada",23357,45.4168,-73.4992
"Whitehorse","Canada",23272,60.7161,-135.054
"Bedford Park-Nortown","Canada",23236,43.7315,-79.4202
"Tecumseh","Canada",23229,42.3168,-82.8998
"Mount Pearl","Canada",23120,47.5166,-52.7813
"Eglinton East","Canada",22776,43.7392,-79.2458
"Chambly","Canada",22608,45.4501,-73.2825
"Englemount-Lawrence","Canada",22372,43.7203,-79.4374
"Birchcliffe-Cliffside","Canada",22291,43.6947,-79.2651
"Rockcliffe-Smythe","Canada",22246,43.6748,-79.4944
"Duncan","Canada",22199,48.7829,-123.703
"High Park North","Canada",22162,43.6563,-79.4745
"Willowridge-Martingrove-Richview","Canada",22156,43.6836,-79.5542
"Kingsview Village-The Westway","Canada",22000,43.699,-79.5479
"Flemingdon Park","Canada",21933,43.7181,-79.3322
"South Parkdale","Canada",21849,43.6367,-79.4393
"Collingwood","Canada",21793,44.4834,-80.2164
"Black Creek","Canada",21737,43.7649,-79.522
"Tsawwassen","Canada",21588,49.0167,-123.083
"The Beaches","Canada",21567,43.6737,-79.2954
"Baie-Comeau","Canada",21536,49.2168,-68.1489
"Bayview Village","Canada",21396,43.7764,-79.3803
"East End-Danforth","Canada",21381,43.6842,-79.2994
"Lower Sackville","Canada",21379,44.776,-63.6786
"Owen Sound","Canada",21341,44.5672,-80.9435
"Oakwood Village","Canada",21210,43.6828,-79.4383
"Uxbridge","Canada",21176,44.1001,-79.1163
"Thorncliffe Park","Canada",21108,43.7077,-79.35
"Keswick","Canada",21000,44.2501,-79.4663
"Varennes","Canada",20994,45.6834,-73.4325
"Rosedale-Moore Park","Canada",20923,43.6828,-79.3797
"Clarence-Rockland","Canada",20790,45.5501,-75.291
"Port Alberni","Canada",20712,49.2413,-124.803
"Wasaga Beach","Canada",20675,44.5168,-80.0164
"Moss Park","Canada",20506,43.655,-79.3715
"Westmount","Canada",20494,45.4834,-73.5992
"Kirkland","Canada",20491,45.4501,-73.8659
"Lindsay","Canada",20354,44.3501,-78.7329
"Fort St. John","Canada",20155,56.2499,-120.853
"Cranbrook","Canada",20047,49.4999,-115.769
"Cole Harbour","Canada",20000,44.6724,-63.4751
"Saint-Lazare","Canada",19889,45.4001,-74.1326
"Huntsville","Canada",19816,45.3334,-79.2163
"Yellowknife","Canada",19569,62.4541,-114.372
"Terrace","Canada",19443,54.5163,-128.603
"North Battleford","Canada",19440,52.7797,-108.297
"Beaconsfield","Canada",19194,45.4334,-73.8659
"Dorval","Canada",18980,45.4473,-73.7533
"Mont-Royal","Canada",18933,45.5168,-73.6492
"Beloeil","Canada",18927,45.5684,-73.2057
"Alliston","Canada",18809,44.1501,-79.8663
"Thorold","Canada",18801,43.1168,-79.1996
"Camrose","Canada",18742,53.0168,-112.835
"Corner Brook","Canada",18693,48.95,-57.952
"O'Connor-Parkview","Canada",18675,43.7068,-79.3122
"New Glasgow","Canada",18665,45.5834,-62.6486
"North St.James Town","Canada",18615,43.6696,-79.3753
"Eringate-Centennial-West Deane","Canada",18588,43.658,-79.5804
"Riviere-du-Loup","Canada",18586,47.827,-69.5424
"Pitt Meadows","Canada",18573,49.2212,-122.69
"Port Colborne","Canada",18306,42.9001,-79.2329
"Cobourg","Canada",18099,43.9598,-78.1652
"Oak Bay","Canada",18015,48.4496,-123.303
"Weston","Canada",17992,43.7036,-79.5151
"Kensington-Chinatown","Canada",17945,43.6535,-79.3972
"Amos","Canada",17918,48.5669,-78.1162
"St.Andrew-Windfields","Canada",17812,43.7562,-79.379
"Brookhaven-Amesbury","Canada",17757,43.7013,-79.4856
"Esquimalt","Canada",17655,48.4357,-123.412
"Squamish","Canada",17587,49.6992,-123.156
"Glace Bay","Canada",17556,46.1969,-59.957
"Miramichi","Canada",17537,47.0289,-65.5019
"Niagara-on-the-Lake","Canada",17511,43.2565,-79.0853
"Victoria Village","Canada",17510,43.7285,-79.3149
"Saint-Lin-Laurentides","Canada",17463,45.8501,-73.7659
"Morningside","Canada",17455,43.7873,-79.2064
"Valley East","Canada",17451,46.6677,-81.0003
"Deux-Montagnes","Canada",17402,45.5345,-73.9017
"Les Coteaux","Canada",17396,45.2834,-74.2325
"Saint-Augustin-de-Desmaures","Canada",17281,46.7406,-71.4513
"Petawawa","Canada",17187,45.8945,-77.2801
"Danforth East York","Canada",17180,43.6895,-79.3314
"Kennedy Park","Canada",17123,43.7227,-79.2605
"Conception Bay South","Canada",17087,47.4999,-52.9981
"Vanier","Canada",17000,45.4399,-75.665
"Willowdale West","Canada",16936,43.7712,-79.4276
"Hillcrest Village","Canada",16934,43.8049,-79.3544
"Colwood","Canada",16859,48.4329,-123.486
"Leaside-Bennington","Canada",16828,43.7038,-79.3661
"Mount Pleasant East","Canada",16775,43.7048,-79.3849
"Sainte-Catherine","Canada",16762,45.4001,-73.5825
"Scarborough Village","Canada",16724,43.739,-79.2212
"Buckingham","Canada",16685,45.5856,-75.4208
"Swift Current","Canada",16604,50.2834,-107.801
"Edmundston","Canada",16580,47.3737,-68.3251
"Trinity-Bellwoods","Canada",16556,43.6479,-79.4085
"L'Ancienne-Lorette","Canada",16516,46.7939,-71.3519
"Clanton Park","Canada",16472,43.742,-79.4463
"Yorkton","Canada",16343,51.2167,-102.468
"Lutes Mountain","Canada",16311,46.1354,-64.905
"Sainte-Catherine","Canada",16211,46.3184,-72.5663
"Lansing-Westgate","Canada",16164,43.7543,-79.4248
"Newtonbrook East","Canada",16097,43.7915,-79.4059
"Bracebridge","Canada",16010,45.0334,-79.3163
"Candiac","Canada",15947,45.3834,-73.5159
"Cliffcrest","Canada",15935,43.7219,-79.2309
"L'Assomption","Canada",15906,45.8232,-73.4294
"Greater Napanee","Canada",15892,44.2501,-76.9494
"Bathurst Manor","Canada",15873,43.7648,-79.4561
"Steinbach","Canada",15829,49.5258,-96.6845
"Pleasant View","Canada",15818,43.7861,-79.335
"Henry Farm","Canada",15723,43.7695,-79.3524
"Mont-Saint-Hilaire","Canada",15720,45.5652,-73.1868
"Taylor-Massey","Canada",15683,43.695,-79.2959
"Saint-Basile-le-Grand","Canada",15605,45.5334,-73.2825
"Leduc","Canada",15561,53.2668,-113.552
"Little Portugal","Canada",15559,43.6466,-79.4296
"Magog","Canada",15550,45.2668,-72.1491
"Humbermede","Canada",15545,43.7525,-79.5442
"Edenbridge-Humber Valley","Canada",15535,43.6709,-79.5225
"Lawrence Park South","Canada",15179,43.7172,-79.406
"Kenora","Canada",15096,49.7674,-94.4899
"le Plateau","Canada",15000,45.4351,-75.7803
"Roncesvalles","Canada",14974,43.6489,-79.4502
"Fort Saskatchewan","Canada",14957,53.6981,-113.214
"Summerside","Canada",14829,46.3912,-63.7887
